Element,Carbonate-Rich Shale,Uncertainty_crs,Marine Shale,Uncertainty_ms,Black Shale,Uncertainty_bs,Carbonatite,Uncertainty_c,Phosphate,Uncertainty_p,Soil,Uncertainty_s
Mg,26800.00,1206.00,15683.00,60.00,12300.00,77.00,7540.00,181.00,6400.00,51.00,9200.00,121.00
Al,34500.00,1111.00,111132.00,212.00,80300.00,409.00,1958.00,212.00,12000.00,138.00,63000.00,370.00
Si,131800.00,982.00,222717.00,400.00,235700.00,1217.00,16222.00,514.00,61400.00,316.00,306000.00,841.00
P,1400.00,288.00,1615.00,9.00,400.00,0.10,0.00,0.01,113500.00,22979.00,800.00,13.00
S,15300.00,1100.00,7150.00,80.00,58400.00,470.00,0.00,0.01,2000.00,0.10,0.00,0.01
K,13800.00,8301.00,28640.00,83.00,31800.00,281.00,1328.00,166.00,900.00,27.00,34600.00,249.00
Ca,59900.00,1215.00,21084.00,71.00,11800.00,201.00,345200.00,2716.00,282600.00,839.00,10400.00,71.00
Ti,1500.00,150.00,5126.00,18.00,3600.00,47.00,1500.00,12.00,900.00,34.00,3400.00,24.00
V,130.00,6.00,220.00,1.40,219.12,3.64,110.00,6.00,82.10,2.11,73.20,1.70
Cr,30.00,3.00,109.00,1.00,98.35,3.60,5.00,0.01,49.20,5.20,0.00,0.01
Mn,267.00,34.00,1162.00,8.00,200.00,0.00,3330.00,3330.00,8400.00,40.00,4000.00,39.00
Fe,21200.00,1088.00,67912.00,155.00,66400.00,544.00,20562.00,700.00,39200.00,199.00,45100.00,311.00
Co,12.00,1.50,22.70,0.10,40.65,0.70,0.50,0.01,29.40,2.72,55.60,1.40
Ni,29.00,0.01,82.80,0.80,192.94,16.49,13.00,1.00,32.00,4.17,230.00,5.00
Cu,66.00,9.00,31.00,0.60,176.65,3.24,5.00,0.01,23.00,5.02,1160.00,20.00
Zn,74.00,9.00,186.00,1.70,62.52,7.80,87.00,1.50,26.40,3.66,3680.00,60.00
As,67.00,5.00,25.70,0.70,46.24,0.83,0.00,0.01,24.80,0.92,396.00,24.00
Se,4.00,0.01,0.00,0.01,6.31,0.87,0.00,0.01,5.38,9.63,15.00,3.00
Rb,0.00,0.01,147.00,1.00,140.00,5.00,0.00,0.01,5.08,2.03,152.00,3.00
Sr,420.00,30.00,178.00,1.40,86.74,1.71,12000.00,50.00,703.60,3.11,182.00,3.00
Y,13.00,0.01,36.50,0.10,26.70,0.60,81.00,0.50,631.00,3.90,25.40,1.50
Zr,53.00,0.01,134.00,1.60,144.24,2.31,65.00,3.00,58.71,10.77,258.00,6.00
Nb,0.00,0.01,15.30,0.10,8.81,0.10,3900.00,60.00,7.67,1.51,21.90,0.90
Mo,35.00,0.90,2.40,0.10,159.41,4.29,0.00,0.01,0.00,0.01,64.00,3.00
Ag,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,76.00,6.00
Cd,0.00,0.01,0.10,0.10,0.10,0.10,0.00,0.01,0.00,0.01,25.00,1.00
Sn,2.00,0.01,3.30,0.10,0.00,0.01,0.00,0.01,0.00,0.01,2.90,0.10
Sb,3.00,0.50,1.01,0.10,4.51,0.10,0.00,0.01,3.29,0.10,505.00,27.00
Ba,290.00,40.00,788.00,7.70,454.11,29.59,1000.00,50.00,219.70,1.72,866.00,12.00
La,20.00,1.80,52.50,0.60,33.53,0.51,750.00,10.00,495.80,4.89,44.90,1.00
Ce,36.00,4.00,108.00,0.90,64.58,1.12,1700.00,100.00,928.80,10.19,89.30,2.10
Pr,0.00,0.01,12.60,0.10,8.23,0.10,150.00,6.00,96.70,1.18,9.97,0.10
Nd,16.00,1.70,49.20,0.50,31.65,1.22,480.00,15.00,351.00,9.94,36.20,1.00
W,3.00,0.06,1.60,0.10,0.00,0.01,0.00,0.01,0.00,0.01,13.00,2.00
Hg,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,7.30,0.60
Pb,38.00,4.00,35.00,0.10,52.18,0.88,0.00,0.01,76.70,4.08,3890.00,80.00
Bi,0.00,0.01,0.70,0.10,0.10,0.10,0.00,0.01,0.00,0.01,5.10,0.10
Th,5.00,0.21,15.80,0.10,9.31,0.10,10.00,1.00,10.70,0.67,17.70,1.00
U,5.00,0.40,5.76,0.10,25.40,0.51,11.00,0.60,30.50,0.71,4.07,0.10
Na,22200.00,1000.00,550.00,0.01,3359.00,0.01,300.00,0.01,0.00,0.01,8200.00,0.01
Cl,32.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01
Sc,5.00,0.70,20.00,0.10,17.00,0.10,3.00,0.10,10.40,0.52,8.20,0.10
Te,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,9.50,1.00
Cs,5.00,0.30,8.20,0.10,10.12,0.10,0.10,0.10,0.00,0.01,4.78,0.10
Au,0.00,0.01,0.00,0.01,0.10,0.10,0.00,0.01,0.00,0.01,0.00,0.01
Pd,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01
